Time,stamp.secs,stamp.nsecs,left,right
1609131312.1042387,1609131312,103748083,-6.0,3.0
1609131312.2083342,1609131312,206458091,-6.0,3.0
1609131312.304724,1609131312,303802013,-6.0,3.0
1609131312.4130335,1609131312,412065029,-7.0,3.0
1609131312.5154016,1609131312,514272928,-7.0,3.0
1609131312.615062,1609131312,614620923,-7.0,3.0
1609131312.713481,1609131312,711642980,-7.0,3.0
1609131312.8103735,1609131312,809432983,-7.0,3.0
1609131312.8999667,1609131312,897991895,-6.0,3.0
1609131313.005837,1609131313,4682064,-6.0,3.0
1609131313.1009245,1609131313,98726987,-6.0,3.0
1609131313.2112467,1609131313,209225893,-6.0,4.0
1609131313.310184,1609131313,308259010,-6.0,4.0
1609131313.408982,1609131313,406768083,-6.0,4.0
1609131313.5129483,1609131313,511400938,-6.0,4.0
1609131313.6109028,1609131313,609441995,-6.0,4.0
1609131313.708229,1609131313,706239938,-8.0,3.0
1609131313.802947,1609131313,801064968,-8.0,3.0
1609131313.911836,1609131313,909956932,-7.0,4.0
1609131314.006693,1609131314,5086898,-7.0,4.0
1609131314.107344,1609131314,106321096,-7.0,4.0
1609131314.2136986,1609131314,211782932,-6.0,4.0
1609131314.3108714,1609131314,310019969,-6.0,4.0
1609131314.411007,1609131314,409744977,-6.0,4.0
1609131314.5206776,1609131314,517966032,-6.0,4.0
1609131314.6200736,1609131314,616089105,-6.0,4.0
1609131314.7143564,1609131314,712244033,-6.0,3.0
1609131314.8091602,1609131314,807884931,-6.0,3.0
1609131314.9056213,1609131314,903711080,-6.0,3.0
1609131315.0067043,1609131315,5892992,-7.0,4.0
1609131315.1043952,1609131315,102230072,-7.0,4.0
1609131315.2203696,1609131315,219235897,-6.0,3.0
1609131315.3299127,1609131315,328232049,-6.0,3.0
1609131315.416497,1609131315,415611028,-6.0,3.0
1609131315.5251477,1609131315,523713111,-7.0,3.0
1609131315.616775,1609131315,615875005,-7.0,3.0
1609131315.7112217,1609131315,710248947,-7.0,4.0
1609131315.8173194,1609131315,816292047,-7.0,4.0
1609131315.9176798,1609131315,916718006,-7.0,4.0
1609131316.0136113,1609131316,11662006,-7.0,3.0
1609131316.1121843,1609131316,111721038,-7.0,3.0
1609131316.2097483,1609131316,209249019,-7.0,3.0
1609131316.3080957,1609131316,306643962,-7.0,4.0
1609131316.4101055,1609131316,408636093,-7.0,4.0
1609131316.512244,1609131316,511365890,-6.0,4.0
1609131316.6209116,1609131316,619645118,-6.0,4.0
